USUARIAS,SEGMENTO,CIUDAD,DEPARTAMENTO,PAIS,DISTRITO,ETAPA_BEBE
1,Plata,ANSERMA,CALDAS,COLOMBIA,EJE CAFETERO,acostadito
1,Oro,ANGOSTURA,ANTIOQUIA,COLOMBIA,ANTIOQUIA,aventurero
1,Plata,GUADALUPE,SANTANDER,COLOMBIA,SANTANDERES,explorador
1,Bronce,LA MERCED,CALDAS,COLOMBIA,EJE CAFETERO,explorador
2,Oro,TARQUI,HUILA,COLOMBIA,CENTRO,explorador
1,Oro,CARMEN DE VIBORAL,ANTIOQUIA,COLOMBIA,ANTIOQUIA,recien nacido
3,Bronce,LA TEBAIDA,QUINDIO,COLOMBIA,EJE CAFETERO,embarazada
2,Bronce,GUAYABETAL,CUNDINAMARCA,COLOMBIA,CUNDI-BOY,explorador
2,Bronce,ABEJORRAL,ANTIOQUIA,COLOMBIA,ANTIOQUIA,acostadito
1,Oro,MAICAO,LA GUAJIRA,COLOMBIA,ATLANTICO,recien nacido
1,Bronce,PAZ DE ARIPORO,CASANARE,COLOMBIA,LLANOS,explorador
1,Oro,SAN ANTONIO DE PEREIRA,ANTIOQUIA,COLOMBIA,ANTIOQUIA,recien nacido
1,Bronce,LOS SANTOS,SANTANDER,COLOMBIA,SANTANDERES,explorador
1,Oro,CHIMICHAGUA,CESAR,COLOMBIA,ATLANTICO,recien nacido
1,Bronce,FLANDES,TOLIMA,COLOMBIA,CENTRO,recien nacido
1,Bronce,BELEN,NARI?O,COLOMBIA,PACIFICO,acostadito
1,Plata,GIRARDOTA,ANTIOQUIA,COLOMBIA,ANTIOQUIA,recien nacido
1,Oro,AGUA DE DIOS,CUNDINAMARCA,COLOMBIA,CUNDI-BOY,explorador
2,Oro,PUERTO LOPEZ,META,COLOMBIA,LLANOS,acostadito
2,Bronce,VILLAMARIA,CALDAS,COLOMBIA,EJE CAFETERO,embarazada
1,Plata,HERVEO,TOLIMA,COLOMBIA,CENTRO,acostadito
1,Bronce,EL GUAMO,TOLIMA,COLOMBIA,CENTRO,recien nacido
1,Bronce,LA JAGUA DE IBIRICO,CESAR,COLOMBIA,ATLANTICO,recien nacido
2,Bronce,FLORIDA- BUCARAMANGA,SANTANDER,COLOMBIA,SANTANDERES,recien nacido
1,Oro,ARATOCA,SANTANDER,COLOMBIA,SANTANDERES,aventurero
2,Bronce,GUASCA,CUNDINAMARCA,COLOMBIA,CUNDI-BOY,recien nacido
1,Plata,VILLA DE SAN DIEGO DE UBATE,CUNDINAMARCA,COLOMBIA,CUNDI-BOY,recien nacido
2,Bronce,ABREGO,NORTE DE SANTANDER,COLOMBIA,SANTANDERES,explorador
1,Bronce,LA UNION,VALLE DEL CAUCA,COLOMBIA,PACIFICO,acostadito
1,Bronce,TIMANA,HUILA,COLOMBIA,CENTRO,embarazada
1,Bronce,CANDELARIA-ATLANTICO,ATLANTICO,COLOMBIA,ATLANTICO,explorador
1,Bronce,IPIALES,NARI?O,COLOMBIA,PACIFICO,embarazada
1,Plata,LA MESA,CUNDINAMARCA,COLOMBIA,CUNDI-BOY,acostadito
1,Plata,COMBITA,BOYACA,COLOMBIA,CUNDI-BOY,acostadito
1,Plata,SAN ANDRES,SAN ANDRES ISLAS,COLOMBIA,ATLANTICO,recien nacido
1,Oro,GARAGOA,BOYACA,COLOMBIA,CUNDI-BOY,aventurero
1,Bronce,PIVIJAI,MAGDALENA,COLOMBIA,ATLANTICO,explorador
1,Bronce,CISNEROS,ANTIOQUIA,COLOMBIA,ANTIOQUIA,acostadito
2,Plata,PALMAR DE VARELA,ATLANTICO,COLOMBIA,ATLANTICO,explorador
1,Bronce,SASAIMA,CUNDINAMARCA,COLOMBIA,CUNDI-BOY,explorador
1,Bronce,FLANDES,TOLIMA,COLOMBIA,CENTRO,aventurero
1,Bronce,YACOPI,CUNDINAMARCA,COLOMBIA,CUNDI-BOY,explorador
1,Oro,SAN JUAN DE ARAMA,META,COLOMBIA,LLANOS,explorador
1,Oro,TARQUI,HUILA,COLOMBIA,CENTRO,aventurero
1,Bronce,COLOMBIA,HUILA,COLOMBIA,CENTRO,aventurero
1,Bronce,EL BAGRE,ANTIOQUIA,COLOMBIA,ANTIOQUIA,aventurero
1,Oro,SAN CARLOS,ANTIOQUIA,COLOMBIA,ANTIOQUIA,recien nacido
1,Bronce,CALIFORNIA,SANTANDER,COLOMBIA,SANTANDERES,explorador
1,Plata,FOMEQUE,CUNDINAMARCA,COLOMBIA,CUNDI-BOY,acostadito
3,Oro,PALMIRA,VALLE DEL CAUCA,COLOMBIA,PACIFICO,embarazada
1,Plata,BOJACA,CUNDINAMARCA,COLOMBIA,CUNDI-BOY,explorador
1,Oro,TAURAMENA,CASANARE,COLOMBIA,LLANOS,acostadito
1,Bronce,MANATI,ATLANTICO,COLOMBIA,ATLANTICO,aventurero
1,Bronce,CASTILLA LA NUEVA,META,COLOMBIA,LLANOS,acostadito
1,Plata,CAUCA,CAUCA,COLOMBIA,PACIFICO,acostadito
1,Bronce,CARMEN DE CHUCURI,SANTANDER,COLOMBIA,SANTANDERES,aventurero
1,Oro,SABANALARGA,ATLANTICO,COLOMBIA,ATLANTICO,recien nacido
2,Plata,TUNJA,BOYACA,COLOMBIA,CUNDI-BOY,embarazada
1,Bronce,ARACATACA,MAGDALENA,COLOMBIA,ATLANTICO,recien nacido
1,Bronce,PUERTO LIBERTADOR,CORDOBA,COLOMBIA,ATLANTICO,explorador
1,Oro,SAN MARTIN,CESAR,COLOMBIA,ATLANTICO,recien nacido
1,Oro,FLORESTA,BOYACA,COLOMBIA,CUNDI-BOY,recien nacido
1,Plata,EL SANTUARIO,ANTIOQUIA,COLOMBIA,ANTIOQUIA,recien nacido
1,Bronce,ARMENIA,ANTIOQUIA,COLOMBIA,ANTIOQUIA,recien nacido
1,Plata,YARUMAL,ANTIOQUIA,COLOMBIA,ANTIOQUIA,recien nacido
