ID,CIUDAD,DEPARTAMENTO,PAIS,FECHA_PRIMER_CONTACTO,DISTRITO,ETAPA_BEBE,HIJOS
6243358,BUCARAMANGA,SANTANDER,COLOMBIA,2017-12-05,SANTANDERES,aventurero,1
6412646,ENVIGADO,ANTIOQUIA,COLOMBIA,2018-11-30,ANTIOQUIA,acostadito,1
6201717,JUMBO,VALLE DEL CAUCA,COLOMBIA,2017-10-03,PACIFICO,36 o mayor,1
6162996,CARTAGENA DE INDIAS,BOLIVAR,COLOMBIA,2017-08-23,ATLANTICO,aventurero,1
6198168,BUCARAMANGA,SANTANDER,COLOMBIA,2019-02-02,SANTANDERES,acostadito,1
6244889,BARRANQUILLA,ATLANTICO,COLOMBIA,2017-12-27,ATLANTICO,aventurero,1
6210220,PUERTO TEJADA,CAUCA,COLOMBIA,2017-12-03,PACIFICO,N/A,0
6262725,TULUA,VALLE DEL CAUCA,COLOMBIA,2018-06-10,PACIFICO,aventurero,1
6198169,BOGOTA D.C.,CUNDINAMARCA,COLOMBIA,2017-11-16,CUNDI-BOY,36 o mayor,1
6203050,CARTAGENA DE INDIAS,BOLIVAR,COLOMBIA,2017-10-27,ATLANTICO,aventurero,1
5632452,MEDELLIN,ANTIOQUIA,COLOMBIA,2017-09-24,ANTIOQUIA,aventurero,1
6152496,CARTAGENA DE INDIAS,BOLIVAR,COLOMBIA,2018-08-19,ATLANTICO,36 o mayor,1
